Timestep,Starting point,Target,Agents,Reached_timestep
0,0 0,9 9,,1200
1201,8.572 8.982,-9 -9,2 d_2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 d_1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,2475
2476,-8.536 -8.977,9 9,1 d_1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 d_0 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,3830
3831,8.506 9.065,-9 -9,
