Time_step,Message_type,Received_From,Position
1802,a,2,0.648,0.761
1804,b,2,0.648,0.761
1812,a,2,0.522,0.605
1822,a,2,0.396,0.45
1832,a,2,0.274,0.292
1842,a,2,0.153,0.133
1852,a,2,0.035,-0.028
1862,a,2,-0.075,-0.194
1872,a,2,-0.183,-0.363
1883,a,2,-0.283,-0.536
1892,a,2,-0.365,-0.718
1902,a,2,-0.408,-0.912
1912,a,2,-0.441,-1.107
1922,a,2,-0.596,-1.23
1932,a,2,-0.746,-1.362
1942,a,2,-0.89,-1.501
1952,a,2,-1.038,-1.635
1962,a,2,-1.184,-1.772
1972,a,2,-1.331,-1.907
1982,a,2,-1.478,-2.043
2012,a,1,-1.918,-2.451
2014,b,1,-1.918,-2.451
2022,a,1,-2.065,-2.586
2032,a,1,-2.212,-2.722
2042,a,1,-2.359,-2.858
2052,a,1,-2.506,-2.994
2062,a,1,-2.652,-3.13
2072,a,1,-2.799,-3.265
2082,a,1,-2.946,-3.401
2092,a,1,-3.093,-3.537
2103,a,1,-3.24,-3.673
2112,a,1,-3.386,-3.809
2122,a,1,-3.533,-3.944
2133,a,1,-3.68,-4.08
2142,a,1,-3.827,-4.216
2153,a,1,-3.974,-4.352
3042,a,1,-1.001,-1.353
3044,b,1,-1.001,-1.353
3052,a,1,-0.862,-1.209
3062,a,1,-0.723,-1.066
3072,a,1,-0.584,-0.922
3082,a,1,-0.445,-0.778
3092,a,1,-0.306,-0.634
3102,a,1,-0.167,-0.49
3112,a,1,-0.028,-0.346
3122,a,1,0.11,-0.203
3132,a,1,0.249,-0.059
3142,a,1,0.369,0.099
3152,a,1,0.451,0.281
3162,a,1,0.547,0.457
3172,a,1,0.638,0.635
3183,a,1,0.722,0.816
3192,a,1,0.801,1
3202,a,1,0.881,1.183
3212,a,1,1.013,1.332
3223,a,1,1.091,1.513
3232,a,1,1.146,1.705
3242,a,1,1.215,1.893
3253,a,1,1.338,2.049
3263,a,1,1.395,2.237
3272,a,1,1.428,2.434
3274,a,0,1.428,2.434
3277,b,0,1.479,2.519
3282,a,0,1.555,2.585
3282,a,1,1.555,2.585
3293,a,0,1.595,2.773
3293,a,1,1.595,2.773
3302,a,0,1.59,2.972
3302,a,1,1.59,2.972
3313,a,0,1.669,3.146
3313,a,1,1.669,3.146
3322,a,1,1.702,3.166
3322,a,0,1.702,3.166
3332,a,0,1.64,3.312
3342,a,0,1.56,3.493
3352,a,0,1.516,3.687
3363,a,0,1.42,3.862
3372,a,0,1.338,4.044
3383,a,0,1.276,4.234
3393,a,0,1.287,4.433
3402,a,0,1.277,4.632
3412,a,0,1.344,4.696
3422,a,0,1.53,4.766
3432,a,0,1.699,4.872
3442,a,0,1.874,4.969
3452,a,0,2.048,5.067
3482,a,0,2.571,5.363
3492,a,0,2.745,5.461
